Symbol,Name,Sector,Industry,Type,MarketCap,Analyst Rating,Rating Source,Rating Updated ET,Source,SourceSymbol
PLD,Prologis Inc. Common Stock,Real Estate,Real Estate Investment Trusts,Stock,130208757840.0,Strong Buy,Nasdaq Stock Screener analyst consensus,"Sep 05, 2026 11:55:24 PM EDT",Nasdaq Stock Screener,PLD
RIO,Rio Tinto Plc Common Stock,Basic Materials,Metal Mining,Stock,129711104570.0,Buy,Nasdaq Stock Screener analyst consensus,"Sep 05, 2026 11:55:24 PM EDT",Nasdaq Stock Screener,RIO
PBR,Petroleo Brasileiro S.A. Petrobras ADS,Energy,Oil & Gas Production,Stock,129660651586.0,Strong Buy,Nasdaq Stock Screener analyst consensus,"Sep 05, 2026 11:55:24 PM EDT",Nasdaq Stock Screener,PBR
ISRG,Intuitive Surgical Inc. Common Stock,Health Care,Industrial Specialties,Stock,129547056535.0,Strong Buy,Nasdaq Stock Screener analyst consensus,"Sep 05, 2026 11:55:24 PM EDT",Nasdaq Stock Screener,ISRG
MNST,Monster Beverage Corporation,Consumer Staples,Beverages (Production/Distribution),Stock,128768601235.0,Strong Buy,Nasdaq Stock Screener analyst consensus,"Sep 05, 2026 11:55:24 PM EDT",Nasdaq Stock Screener,MNST
PGR,Progressive Corporation (The) Common Stock,Finance,Property-Casualty Insurers,Stock,127291349042.0,Buy,Nasdaq Stock Screener analyst consensus,"Sep 05, 2026 11:55:24 PM EDT",Nasdaq Stock Screener,PGR
ACN,Accenture plc Class A Ordinary Shares (Ireland),Consumer Discretionary,Business Services,Stock,124637506411.0,Buy,Nasdaq Stock Screener analyst consensus,"Sep 05, 2026 11:55:24 PM EDT",Nasdaq Stock Screener,ACN
SMFG,Sumitomo Mitsui Financial Group Inc Unsponsored American Depositary Shares (Japan),Finance,Commercial Banks,Stock,124524851506.0,Buy,Nasdaq Stock Screener analyst consensus,"Sep 05, 2026 11:55:24 PM EDT",Nasdaq Stock Screener,SMFG
CVS,CVS Health Corporation Common Stock,Consumer Staples,Retail-Drug Stores and Proprietary Stores,Stock,123727593497.0,Strong Buy,Nasdaq Stock Screener analyst consensus,"Sep 05, 2026 11:55:24 PM EDT",Nasdaq Stock Screener,CVS
BMO,Bank Of Montreal Common Stock,Finance,Commercial Banks,Stock,121919178370.0,Buy,Nasdaq Stock Screener analyst consensus,"Sep 05, 2026 11:55:24 PM EDT",Nasdaq Stock Screener,BMO
PH,Parker-Hannifin Corporation Common Stock,Industrials,Metal Fabrications,Stock,121332033185.0,Strong Buy,Nasdaq Stock Screener analyst consensus,"Sep 05, 2026 11:55:24 PM EDT",Nasdaq Stock Screener,PH
LMT,Lockheed Martin Corporation Common Stock,Industrials,Military/Government/Technical,Stock,121229766736.0,Buy,Nasdaq Stock Screener analyst consensus,"Sep 05, 2026 11:55:24 PM EDT",Nasdaq Stock Screener,LMT
MDT,Medtronic plc. Ordinary Shares,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,Stock,120535797680.0,Strong Buy,Nasdaq Stock Screener analyst consensus,"Sep 05, 2026 11:55:24 PM EDT",Nasdaq Stock Screener,MDT
BTI,British American Tobacco  Industries p.l.c. Common Stock ADR,Health Care,Medicinal Chemicals and Botanical Products,Stock,119991623928.0,Strong Buy,Nasdaq Stock Screener analyst consensus,"Sep 05, 2026 11:55:24 PM EDT",Nasdaq Stock Screener,BTI
SBUX,Starbucks Corporation Common Stock,Consumer Discretionary,Restaurants,Stock,119095800000.0,Buy,Nasdaq Stock Screener analyst consensus,"Sep 05, 2026 11:55:24 PM EDT",Nasdaq Stock Screener,SBUX
HDB,HDFC Bank Limited Common Stock,Finance,Commercial Banks,Stock,118939425948.0,Strong Buy,Nasdaq Stock Screener analyst consensus,"Sep 05, 2026 11:55:24 PM EDT",Nasdaq Stock Screener,HDB
PDD,PDD Holdings Inc. American Depositary Shares,Consumer Discretionary,Business Services,Stock,117017423141.0,Buy,Nasdaq Stock Screener analyst consensus,"Sep 05, 2026 11:55:24 PM EDT",Nasdaq Stock Screener,PDD
SNOW,Snowflake Inc. Common Stock,Technology,Computer Software: Prepackaged Software,Stock,116866588000.0,Strong Buy,Nasdaq Stock Screener analyst consensus,"Sep 05, 2026 11:55:24 PM EDT",Nasdaq Stock Screener,SNOW
SYK,Stryker Corporation Common Stock,Health Care,Medical/Dental Instruments,Stock,116272497434.0,Strong Buy,Nasdaq Stock Screener analyst consensus,"Sep 05, 2026 11:55:24 PM EDT",Nasdaq Stock Screener,SYK
BNS,Bank Nova Scotia Halifax Pfd 3 Ordinary Shares,Finance,Major Banks,Stock,115097190115.0,Buy,Nasdaq Stock Screener analyst consensus,"Sep 05, 2026 11:55:24 PM EDT",Nasdaq Stock Screener,BNS
MO,Altria Group Inc.,Health Care,Medicinal Chemicals and Botanical Products,Stock,115011961623.0,Buy,Nasdaq Stock Screener analyst consensus,"Sep 05, 2026 11:55:24 PM EDT",Nasdaq Stock Screener,MO
LOW,Lowe's Companies Inc. Common Stock,Consumer Discretionary,RETAIL: Building Materials,Stock,114707494185.0,Strong Buy,Nasdaq Stock Screener analyst consensus,"Sep 05, 2026 11:55:24 PM EDT",Nasdaq Stock Screener,LOW
BP,BP p.l.c. Common Stock,Energy,Integrated oil Companies,Stock,114691530868.0,Buy,Nasdaq Stock Screener analyst consensus,"Sep 05, 2026 11:55:24 PM EDT",Nasdaq Stock Screener,BP
FTNT,Fortinet Inc. Common Stock,Technology,Computer peripheral equipment,Stock,114672106827.0,Buy,Nasdaq Stock Screener analyst consensus,"Sep 05, 2026 11:55:24 PM EDT",Nasdaq Stock Screener,FTNT
BNY,The Bank of New York Mellon Corporation Common Stock,Finance,Major Banks,Stock,111844622767.0,Strong Buy,Nasdaq Stock Screener analyst consensus,"Sep 05, 2026 11:55:24 PM EDT",Nasdaq Stock Screener,BNY
SPOT,Spotify Technology S.A. Ordinary Shares,Consumer Discretionary,Broadcasting,Stock,111649737621.0,Strong Buy,Nasdaq Stock Screener analyst consensus,"Sep 05, 2026 11:55:24 PM EDT",Nasdaq Stock Screener,SPOT
ADP,Automatic Data Processing Inc. Common Stock,Technology,EDP Services,Stock,110288081046.0,Buy,Nasdaq Stock Screener analyst consensus,"Sep 05, 2026 11:55:24 PM EDT",Nasdaq Stock Screener,ADP
HOOD,Robinhood Markets Inc. Class A Common Stock,Finance,Investment Bankers/Brokers/Service,Stock,109786936356.0,Strong Buy,Nasdaq Stock Screener analyst consensus,"Sep 05, 2026 11:55:24 PM EDT",Nasdaq Stock Screener,HOOD
ENB,Enbridge Inc Common Stock,Energy,Natural Gas Distribution,Stock,109376418761.0,Buy,Nasdaq Stock Screener analyst consensus,"Sep 05, 2026 11:55:24 PM EDT",Nasdaq Stock Screener,ENB
MPC,Marathon Petroleum Corporation Common Stock,Energy,Integrated oil Companies,Stock,109212750331.0,Strong Buy,Nasdaq Stock Screener analyst consensus,"Sep 05, 2026 11:55:24 PM EDT",Nasdaq Stock Screener,MPC
ABNB,Airbnb Inc. Class A Common Stock,Consumer Discretionary,Diversified Commercial Services,Stock,108943066983.0,Buy,Nasdaq Stock Screener analyst consensus,"Sep 05, 2026 11:55:24 PM EDT",Nasdaq Stock Screener,ABNB
IBN,ICICI Bank Limited Common Stock,Finance,Commercial Banks,Stock,108475705436.0,Strong Buy,Nasdaq Stock Screener analyst consensus,"Sep 05, 2026 11:55:24 PM EDT",Nasdaq Stock Screener,IBN
VRT,Vertiv Holdings LLC Class A Common Stock,Technology,Industrial Machinery/Components,Stock,108000732172.0,Strong Buy,Nasdaq Stock Screener analyst consensus,"Sep 05, 2026 11:55:24 PM EDT",Nasdaq Stock Screener,VRT
ING,ING Group N.V. Common Stock,Finance,Commercial Banks,Stock,107912633240.0,Strong Buy,Nasdaq Stock Screener analyst consensus,"Sep 05, 2026 11:55:24 PM EDT",Nasdaq Stock Screener,ING
SNY,Sanofi ADS,Health Care,Biotechnology: Pharmaceutical Preparations,Stock,107894909454.0,Buy,Nasdaq Stock Screener analyst consensus,"Sep 05, 2026 11:55:24 PM EDT",Nasdaq Stock Screener,SNY
APP,Applovin Corporation Class A Common Stock,Technology,Computer Software: Programming Data Processing,Stock,107275724560.0,Strong Buy,Nasdaq Stock Screener analyst consensus,"Sep 05, 2026 11:55:24 PM EDT",Nasdaq Stock Screener,APP
VLO,Valero Energy Corporation Common Stock,Energy,Integrated oil Companies,Stock,106740468342.0,Buy,Nasdaq Stock Screener analyst consensus,"Sep 05, 2026 11:55:24 PM EDT",Nasdaq Stock Screener,VLO
CM,Canadian Imperial Bank of Commerce Common Stock,Finance,Commercial Banks,Stock,106684846215.0,Buy,Nasdaq Stock Screener analyst consensus,"Sep 05, 2026 11:55:24 PM EDT",Nasdaq Stock Screener,CM
ADBE,Adobe Inc. Common Stock,Technology,Computer Software: Prepackaged Software,Stock,105937725000.0,Buy,Nasdaq Stock Screener analyst consensus,"Sep 05, 2026 11:55:24 PM EDT",Nasdaq Stock Screener,ADBE
CEG,Constellation Energy Corporation Common Stock,Utilities,Electric Utilities: Central,Stock,105923734026.0,Strong Buy,Nasdaq Stock Screener analyst consensus,"Sep 05, 2026 11:55:24 PM EDT",Nasdaq Stock Screener,CEG
MCK,McKesson Corporation Common Stock,Health Care,Other Pharmaceuticals,Stock,105862883700.0,Strong Buy,Nasdaq Stock Screener analyst consensus,"Sep 05, 2026 11:55:24 PM EDT",Nasdaq Stock Screener,MCK
EQNR,Equinor ASA,Energy,Integrated oil Companies,Stock,105236407653.0,Hold,Nasdaq Stock Screener analyst consensus,"Sep 05, 2026 11:55:24 PM EDT",Nasdaq Stock Screener,EQNR
FCX,Freeport-McMoRan Inc. Common Stock,Basic Materials,Metal Mining,Stock,104441554448.0,Strong Buy,Nasdaq Stock Screener analyst consensus,"Sep 05, 2026 11:55:24 PM EDT",Nasdaq Stock Screener,FCX
CNQ,Canadian Natural Resources Limited Common Stock,Energy,Oil & Gas Production,Stock,104393666400.0,Buy,Nasdaq Stock Screener analyst consensus,"Sep 05, 2026 11:55:24 PM EDT",Nasdaq Stock Screener,CNQ
AEM,Agnico Eagle Mines Limited Common Stock,Basic Materials,Precious Metals,Stock,103912963121.0,Strong Buy,Nasdaq Stock Screener analyst consensus,"Sep 05, 2026 11:55:24 PM EDT",Nasdaq Stock Screener,AEM
HWM,Howmet Aerospace Inc. Common Stock,Industrials,Metal Fabrications,Stock,103397238719.0,Strong Buy,Nasdaq Stock Screener analyst consensus,"Sep 05, 2026 11:55:24 PM EDT",Nasdaq Stock Screener,HWM
EQIX,Equinix Inc. Common Stock REIT,Real Estate,Real Estate Investment Trusts,Stock,102221893262.0,Strong Buy,Nasdaq Stock Screener analyst consensus,"Sep 05, 2026 11:55:24 PM EDT",Nasdaq Stock Screener,EQIX
BX,Blackstone Inc. Common Stock,Finance,Investment Managers,Stock,102197609271.0,Buy,Nasdaq Stock Screener analyst consensus,"Sep 05, 2026 11:55:24 PM EDT",Nasdaq Stock Screener,BX
APH,Amphenol Corporation Common Stock,Technology,Electrical Products,Stock,102066370570.0,Strong Buy,Nasdaq Stock Screener analyst consensus,"Sep 05, 2026 11:55:24 PM EDT",Nasdaq Stock Screener,APH
PSX,Phillips 66 Common Stock,Energy,Integrated oil Companies,Stock,101786245462.0,Buy,Nasdaq Stock Screener analyst consensus,"Sep 05, 2026 11:55:24 PM EDT",Nasdaq Stock Screener,PSX
SO,Southern Company (The) Common Stock,Utilities,Electric Utilities: Central,Stock,101358480934.0,Buy,Nasdaq Stock Screener analyst consensus,"Sep 05, 2026 11:55:24 PM EDT",Nasdaq Stock Screener,SO
CME,CME Group Inc. Class A Common Stock,Finance,Investment Bankers/Brokers/Service,Stock,101146050889.0,Buy,Nasdaq Stock Screener analyst consensus,"Sep 05, 2026 11:55:24 PM EDT",Nasdaq Stock Screener,CME
GSK,GSK plc American Depositary Shares (Each representing two Ordinary Shares),Health Care,Biotechnology: Pharmaceutical Preparations,Stock,101033638614.0,Buy,Nasdaq Stock Screener analyst consensus,"Sep 05, 2026 11:55:24 PM EDT",Nasdaq Stock Screener,GSK
MELI,MercadoLibre Inc. Common Stock,Consumer Discretionary,Business Services,Stock,100296525205.0,Strong Buy,Nasdaq Stock Screener analyst consensus,"Sep 05, 2026 11:55:24 PM EDT",Nasdaq Stock Screener,MELI
ACWI,ACWI,iShares MSCI ACWI ETF,ETF / Fund,ETF,,Not Rated,Nasdaq ETF Screener — no stock-style analyst consensus,—,User ETF allowlist,ACWI
AIA,AIA,iShares Asia 50 ETF,ETF / Fund,ETF,,Not Rated,Nasdaq ETF Screener — no stock-style analyst consensus,—,User ETF allowlist,AIA
AIRR,AIRR,First Trust RBA American Industrial RenaissanceTM ETF,ETF / Fund,ETF,,Not Rated,Nasdaq ETF Screener — no stock-style analyst consensus,—,User ETF allowlist,AIRR
BBLU,BBLU,Ea Bridgeway Blue Chip ETF,ETF / Fund,ETF,,Not Rated,Nasdaq ETF Screener — no stock-style analyst consensus,—,User ETF allowlist,BBLU
BBP,BBP,Virtus LifeSci Biotech Products ETF,ETF / Fund,ETF,,Not Rated,Nasdaq ETF Screener — no stock-style analyst consensus,—,User ETF allowlist,BBP
BEDY,BEDY,Bny Mellon Enhanced Dividend Income ETF,ETF / Fund,ETF,,Not Rated,Nasdaq ETF Screener — no stock-style analyst consensus,—,User ETF allowlist,BEDY
BFOR,BFOR,Barron's 400 ETF,ETF / Fund,ETF,,Not Rated,Nasdaq ETF Screener — no stock-style analyst consensus,—,User ETF allowlist,BFOR
BSVO,BSVO,EA Bridgeway Omni Small-Cap Value ETF,ETF / Fund,ETF,,Not Rated,Nasdaq ETF Screener — no stock-style analyst consensus,—,User ETF allowlist,BSVO
CLSE,CLSE,Convergence Long/Short Equity ETF,ETF / Fund,ETF,,Not Rated,Nasdaq ETF Screener — no stock-style analyst consensus,—,User ETF allowlist,CLSE
CRAK,CRAK,VanEck Oil Refiners ETF,ETF / Fund,ETF,,Not Rated,Nasdaq ETF Screener — no stock-style analyst consensus,—,User ETF allowlist,CRAK
CRBN,CRBN,iShares Low Carbon Optimized MSCI ACWI ETF,ETF / Fund,ETF,,Not Rated,Nasdaq ETF Screener — no stock-style analyst consensus,—,User ETF allowlist,CRBN
CSD,CSD,Invesco S&P Spin-Off ETF,ETF / Fund,ETF,,Not Rated,Nasdaq ETF Screener — no stock-style analyst consensus,—,User ETF allowlist,CSD
CSM,CSM,ProShares Large Cap Core Plus,ETF / Fund,ETF,,Not Rated,Nasdaq ETF Screener — no stock-style analyst consensus,—,User ETF allowlist,CSM
DBAW,DBAW,Xtrackers MSCI All World ex US Hedged Equity ETF,ETF / Fund,ETF,,Not Rated,Nasdaq ETF Screener — no stock-style analyst consensus,—,User ETF allowlist,DBAW
DBEF,DBEF,Xtrackers MSCI EAFE Hedged Equity ETF,ETF / Fund,ETF,,Not Rated,Nasdaq ETF Screener — no stock-style analyst consensus,—,User ETF allowlist,DBEF
DBEU,DBEU,Xtrackers MSCI Europe Hedged Equity ETF,ETF / Fund,ETF,,Not Rated,Nasdaq ETF Screener — no stock-style analyst consensus,—,User ETF allowlist,DBEU
DBEZ,DBEZ,Xtrackers MSCI Eurozone Hedged Equity ETF,ETF / Fund,ETF,,Not Rated,Nasdaq ETF Screener — no stock-style analyst consensus,—,User ETF allowlist,DBEZ
DBJP,DBJP,Xtrackers MSCI Japan Hedged Equity ETF,ETF / Fund,ETF,,Not Rated,Nasdaq ETF Screener — no stock-style analyst consensus,—,User ETF allowlist,DBJP
DDIV,DDIV,First Trust Dorsey Wright Momentum & Dividend ETF,ETF / Fund,ETF,,Not Rated,Nasdaq ETF Screener — no stock-style analyst consensus,—,User ETF allowlist,DDIV
DDWM,DDWM,WisdomTree Dynamic International Equity ETF,ETF / Fund,ETF,,Not Rated,Nasdaq ETF Screener — no stock-style analyst consensus,—,User ETF allowlist,DDWM
DFAT,DFAT,Dimensional U.S. Targeted Value ETF,ETF / Fund,ETF,,Not Rated,Nasdaq ETF Screener — no stock-style analyst consensus,—,User ETF allowlist,DFAT
DFIV,DFIV,Dimensional International Value ETF,ETF / Fund,ETF,,Not Rated,Nasdaq ETF Screener — no stock-style analyst consensus,—,User ETF allowlist,DFIV
DFMC,DFMC,DFA US Micro Cap Portfolio ETF Class,ETF / Fund,ETF,,Not Rated,Nasdaq ETF Screener — no stock-style analyst consensus,—,User ETF allowlist,DFMC
DFUS,DFUS,Dimensional U.S. Equity Market ETF,ETF / Fund,ETF,,Not Rated,Nasdaq ETF Screener — no stock-style analyst consensus,—,User ETF allowlist,DFUS
DGRO,DGRO,iShares Core Dividend Growth ETF,ETF / Fund,ETF,,Not Rated,Nasdaq ETF Screener — no stock-style analyst consensus,—,User ETF allowlist,DGRO
DGT,DGT,State Street® SPDR® Global Dow ETF,ETF / Fund,ETF,,Not Rated,Nasdaq ETF Screener — no stock-style analyst consensus,—,User ETF allowlist,DGT
DIA,DIA,State Street® SPDR® Dow Jones Industrial Average® ETF Trust,ETF / Fund,ETF,,Not Rated,Nasdaq ETF Screener — no stock-style analyst consensus,—,User ETF allowlist,DIA
DIVI,DIVI,Franklin International Core Dividend Tilt Index ETF,ETF / Fund,ETF,,Not Rated,Nasdaq ETF Screener — no stock-style analyst consensus,—,User ETF allowlist,DIVI
DJD,DJD,Invesco Dow Jones Industrial Average Dividend ETF,ETF / Fund,ETF,,Not Rated,Nasdaq ETF Screener — no stock-style analyst consensus,—,User ETF allowlist,DJD
DLN,DLN,WisdomTree U.S. LargeCap Dividend Fund,ETF / Fund,ETF,,Not Rated,Nasdaq ETF Screener — no stock-style analyst consensus,—,User ETF allowlist,DLN
DSI,DSI,iShares ESG MSCI KLD 400 ETF,ETF / Fund,ETF,,Not Rated,Nasdaq ETF Screener — no stock-style analyst consensus,—,User ETF allowlist,DSI
DTD,DTD,WisdomTree U.S. Total Dividend Fund,ETF / Fund,ETF,,Not Rated,Nasdaq ETF Screener — no stock-style analyst consensus,—,User ETF allowlist,DTD
DVY,DVY,iShares Select Dividend ETF,ETF / Fund,ETF,,Not Rated,Nasdaq ETF Screener — no stock-style analyst consensus,—,User ETF allowlist,DVY
DXJ,DXJ,WisdomTree Japan Hedged Equity Fund,ETF / Fund,ETF,,Not Rated,Nasdaq ETF Screener — no stock-style analyst consensus,—,User ETF allowlist,DXJ
EFV,EFV,iShares MSCI EAFE Value ETF,ETF / Fund,ETF,,Not Rated,Nasdaq ETF Screener — no stock-style analyst consensus,—,User ETF allowlist,EFV
EINC,EINC,VanEck Energy Income ETF,ETF / Fund,ETF,,Not Rated,Nasdaq ETF Screener — no stock-style analyst consensus,—,User ETF allowlist,EINC
ENFR,ENFR,Alerian Energy Infrastructure ETF,ETF / Fund,ETF,,Not Rated,Nasdaq ETF Screener — no stock-style analyst consensus,—,User ETF allowlist,ENFR
EPS,EPS,WisdomTree U.S. LargeCap Fund,ETF / Fund,ETF,,Not Rated,Nasdaq ETF Screener — no stock-style analyst consensus,—,User ETF allowlist,EPS
EQL,EQL,ALPS Equal Sector Weight ETF,ETF / Fund,ETF,,Not Rated,Nasdaq ETF Screener — no stock-style analyst consensus,—,User ETF allowlist,EQL
EQWL,EQWL,Invesco S&P 100 Equal Weight ETF,ETF / Fund,ETF,,Not Rated,Nasdaq ETF Screener — no stock-style analyst consensus,—,User ETF allowlist,EQWL
ESG,ESG,Northern Trust STOXX US ESG Select ETF,ETF / Fund,ETF,,Not Rated,Nasdaq ETF Screener — no stock-style analyst consensus,—,User ETF allowlist,ESG
ESGG,ESGG,Northern Trust STOXX Global ESG Select ETF,ETF / Fund,ETF,,Not Rated,Nasdaq ETF Screener — no stock-style analyst consensus,—,User ETF allowlist,ESGG
ESN,ESN,Essential 40 Stock ETF,ETF / Fund,ETF,,Not Rated,Nasdaq ETF Screener — no stock-style analyst consensus,—,User ETF allowlist,ESN
EUFN,EUFN,iShares MSCI Europe Financials ETF,ETF / Fund,ETF,,Not Rated,Nasdaq ETF Screener — no stock-style analyst consensus,—,User ETF allowlist,EUFN
EWT,EWT,iShares MSCI Taiwan ETF,ETF / Fund,ETF,,Not Rated,Nasdaq ETF Screener — no stock-style analyst consensus,—,User ETF allowlist,EWT
FDD,FDD,First Trust STOXX® European Select Dividend Index Fund,ETF / Fund,ETF,,Not Rated,Nasdaq ETF Screener — no stock-style analyst consensus,—,User ETF allowlist,FDD
FDM,FDM,First Trust Dow Jones Select MicroCap Index Fund,ETF / Fund,ETF,,Not Rated,Nasdaq ETF Screener — no stock-style analyst consensus,—,User ETF allowlist,FDM
FELC,FELC,Fidelity Enhanced Large Cap Core ETF,ETF / Fund,ETF,,Not Rated,Nasdaq ETF Screener — no stock-style analyst consensus,—,User ETF allowlist,FELC
FELG,FELG,Fidelity Enhanced Large Cap Growth ETF,ETF / Fund,ETF,,Not Rated,Nasdaq ETF Screener — no stock-style analyst consensus,—,User ETF allowlist,FELG
FELV,FELV,Fidelity Enhanced Large Cap Value ETF,ETF / Fund,ETF,,Not Rated,Nasdaq ETF Screener — no stock-style analyst consensus,—,User ETF allowlist,FELV
FENI,FENI,Fidelity Enhanced International ETF,ETF / Fund,ETF,,Not Rated,Nasdaq ETF Screener — no stock-style analyst consensus,—,User ETF allowlist,FENI
FESM,FESM,Fidelity Enhanced Small Cap Core ETF,ETF / Fund,ETF,,Not Rated,Nasdaq ETF Screener — no stock-style analyst consensus,—,User ETF allowlist,FESM
FEZ,FEZ,State Street® SPDR® EURO STOXX 50® ETF,ETF / Fund,ETF,,Not Rated,Nasdaq ETF Screener — no stock-style analyst consensus,—,User ETF allowlist,FEZ
FIDU,FIDU,Fidelity MSCI Industrials Index ETF,ETF / Fund,ETF,,Not Rated,Nasdaq ETF Screener — no stock-style analyst consensus,—,User ETF allowlist,FIDU
FMDE,FMDE,Fidelity Enhanced Mid Cap Core ETF,ETF / Fund,ETF,,Not Rated,Nasdaq ETF Screener — no stock-style analyst consensus,—,User ETF allowlist,FMDE
FNCL,FNCL,Fidelity MSCI Financials Index ETF,ETF / Fund,ETF,,Not Rated,Nasdaq ETF Screener — no stock-style analyst consensus,—,User ETF allowlist,FNCL
FNDB,FNDB,Schwab Fundamental U.S. Broad Market ETF,ETF / Fund,ETF,,Not Rated,Nasdaq ETF Screener — no stock-style analyst consensus,—,User ETF allowlist,FNDB
FNDE,FNDE,Schwab Fundamental Emerging Markets Equity ETF,ETF / Fund,ETF,,Not Rated,Nasdaq ETF Screener — no stock-style analyst consensus,—,User ETF allowlist,FNDE
FNDF,FNDF,Schwab Fundamental International Equity ETF,ETF / Fund,ETF,,Not Rated,Nasdaq ETF Screener — no stock-style analyst consensus,—,User ETF allowlist,FNDF
FNDX,FNDX,Schwab Fundamental U.S. Large Company ETF,ETF / Fund,ETF,,Not Rated,Nasdaq ETF Screener — no stock-style analyst consensus,—,User ETF allowlist,FNDX
FTA,FTA,First Trust Large Cap Value AlphaDEX® Fund,ETF / Fund,ETF,,Not Rated,Nasdaq ETF Screener — no stock-style analyst consensus,—,User ETF allowlist,FTA
FTEC,FTEC,Fidelity MSCI Information Technology Index ETF,ETF / Fund,ETF,,Not Rated,Nasdaq ETF Screener — no stock-style analyst consensus,—,User ETF allowlist,FTEC
FYC,FYC,First Trust Small Cap Growth AlphaDEX® Fund,ETF / Fund,ETF,,Not Rated,Nasdaq ETF Screener — no stock-style analyst consensus,—,User ETF allowlist,FYC
FYLD,FYLD,Cambria Foreign Shareholder Yield ETF,ETF / Fund,ETF,,Not Rated,Nasdaq ETF Screener — no stock-style analyst consensus,—,User ETF allowlist,FYLD
FYX,FYX,First Trust Small Cap Core AlphaDEX® Fund,ETF / Fund,ETF,,Not Rated,Nasdaq ETF Screener — no stock-style analyst consensus,—,User ETF allowlist,FYX
GLOF,GLOF,iShares Global Equity Factor ETF,ETF / Fund,ETF,,Not Rated,Nasdaq ETF Screener — no stock-style analyst consensus,—,User ETF allowlist,GLOF
GNR,GNR,State Street® SPDR® S&P® Global Natural Resources ETF,ETF / Fund,ETF,,Not Rated,Nasdaq ETF Screener — no stock-style analyst consensus,—,User ETF allowlist,GNR
GRID,GRID,First Trust NASDAQ® Clean Edge® Smart Grid Infrastructure Index Fund,ETF / Fund,ETF,,Not Rated,Nasdaq ETF Screener — no stock-style analyst consensus,—,User ETF allowlist,GRID
GSGO,GSGO,Goldman Sachs Growth Opportunities ETF,ETF / Fund,ETF,,Not Rated,Nasdaq ETF Screener — no stock-style analyst consensus,—,User ETF allowlist,GSGO
GUNR,GUNR,Northern Trust Morningstar Global Upstream Natural Resources ETF,ETF / Fund,ETF,,Not Rated,Nasdaq ETF Screener — no stock-style analyst consensus,—,User ETF allowlist,GUNR
GUSE,GUSE,Goldman Sachs Enhanced U.S. Equity ETF,ETF / Fund,ETF,,Not Rated,Nasdaq ETF Screener — no stock-style analyst consensus,—,User ETF allowlist,GUSE
GVAL,GVAL,Cambria Global Value ETF,ETF / Fund,ETF,,Not Rated,Nasdaq ETF Screener — no stock-style analyst consensus,—,User ETF allowlist,GVAL
GVLE,GVLE,Goldman Sachs Value Opportunities ETF,ETF / Fund,ETF,,Not Rated,Nasdaq ETF Screener — no stock-style analyst consensus,—,User ETF allowlist,GVLE
HAP,HAP,VanEck Natural Resources ETF,ETF / Fund,ETF,,Not Rated,Nasdaq ETF Screener — no stock-style analyst consensus,—,User ETF allowlist,HAP
HAWX,HAWX,iShares Currency Hedged MSCI ACWI ex U.S. ETF,ETF / Fund,ETF,,Not Rated,Nasdaq ETF Screener — no stock-style analyst consensus,—,User ETF allowlist,HAWX
HEDJ,HEDJ,WisdomTree Europe Hedged Equity Fund,ETF / Fund,ETF,,Not Rated,Nasdaq ETF Screener — no stock-style analyst consensus,—,User ETF allowlist,HEDJ
HEFA,HEFA,iShares Currency Hedged MSCI EAFE ETF,ETF / Fund,ETF,,Not Rated,Nasdaq ETF Screener — no stock-style analyst consensus,—,User ETF allowlist,HEFA
HEWJ,HEWJ,iShares Currency Hedged MSCI Japan ETF,ETF / Fund,ETF,,Not Rated,Nasdaq ETF Screener — no stock-style analyst consensus,—,User ETF allowlist,HEWJ
HEZU,HEZU,iShares Currency Hedged MSCI Eurozone ETF,ETF / Fund,ETF,,Not Rated,Nasdaq ETF Screener — no stock-style analyst consensus,—,User ETF allowlist,HEZU
HFXI,HFXI,NYLI FTSE International Equity Currency Neutral ETF,ETF / Fund,ETF,,Not Rated,Nasdaq ETF Screener — no stock-style analyst consensus,—,User ETF allowlist,HFXI
HSCZ,HSCZ,iShares Currency Hedged MSCI EAFE Small-Cap ETF,ETF / Fund,ETF,,Not Rated,Nasdaq ETF Screener — no stock-style analyst consensus,—,User ETF allowlist,HSCZ
HTUS,HTUS,Hull Tactical US ETF,ETF / Fund,ETF,,Not Rated,Nasdaq ETF Screener — no stock-style analyst consensus,—,User ETF allowlist,HTUS
HWO,HWO,Hotchkis & Wiley Opportunities Fund ETF Class,ETF / Fund,ETF,,Not Rated,Nasdaq ETF Screener — no stock-style analyst consensus,—,User ETF allowlist,HWO
IAK,IAK,iShares U.S. Insurance ETF,ETF / Fund,ETF,,Not Rated,Nasdaq ETF Screener — no stock-style analyst consensus,—,User ETF allowlist,IAK
IDEQ,IDEQ,Lazard International Dynamic Equity ETF,ETF / Fund,ETF,,Not Rated,Nasdaq ETF Screener — no stock-style analyst consensus,—,User ETF allowlist,IDEQ
IDMO,IDMO,Invesco S&P International Developed Momentum ETF,ETF / Fund,ETF,,Not Rated,Nasdaq ETF Screener — no stock-style analyst consensus,—,User ETF allowlist,IDMO
IDOG,IDOG,ALPS International Sector Dividend Dogs ETF,ETF / Fund,ETF,,Not Rated,Nasdaq ETF Screener — no stock-style analyst consensus,—,User ETF allowlist,IDOG
